V1	V3
lnc-SCD-3	ENSG00000236308
lnc-SCD-2	ENSG00000227492
lnc-PKD2L1-1	ENSG00000231188
lnc-CELF2-3	ENSG00000224788
lnc-MRPL43-2	ENSG00000272572
lnc-SEMA4G-2	ENSG00000273476
lnc-PDZD7-2	ENSG00000236662
lnc-PDZD7-1	ENSG00000224915
TLX1NB	ENSG00000236311
LBX1-AS1	ENSG00000227128
lnc-LBX1-1	ENSG00000229649
lnc-BTRC-1	ENSG00000225208
lnc-LBX1-3	ENSG00000230967
lnc-DPCD-1	ENSG00000229793
lnc-DPCD-11	ENSG00000226009
lnc-HPS6-1	ENSG00000248959
lnc-PPRC1-1	ENSG00000228091
lnc-ELOVL3-1	ENSG00000259127
RPARP-AS1	ENSG00000245773
lnc-SUFU-1	ENSG00000243628
lnc-ARL3-1	ENSG00000272933
CYP17A1-AS1	ENSG00000203886
lnc-CYP17A1-3	ENSG00000282772
lnc-CNNM2-1	ENSG00000272912
lnc-NT5C2-1	ENSG00000244967
lnc-PDCD11-3	ENSG00000273485
lnc-PDCD11-1	ENSG00000234699
NEURL1-AS1	ENSG00000235470
lnc-PDCD11-2	ENSG00000226431
lnc-NEURL1-1	ENSG00000273108
lnc-CALHM3-2	ENSG00000245012
lnc-USP6NL-9	ENSG00000234306
lnc-STN1-1	ENSG00000260461
lnc-GSTO2-4	ENSG00000270075
lnc-GSTO2-1	ENSG00000228261
CFAP58-DT	ENSG00000231233
lnc-ITPRIP-2	ENSG00000225768
lnc-SORCS3-1	ENSG00000237761
SORCS3-AS1	ENSG00000226387
lnc-SORCS1-4	ENSG00000236043
lnc-SORCS3-7	ENSG00000230151
LINC01435	ENSG00000229981
lnc-USP6NL-7	ENSG00000225383
lnc-XPNPEP1-1	ENSG00000203434
LINC00710	ENSG00000229240
lnc-ECHDC3-11	ENSG00000231496
lnc-USP6NL-5	ENSG00000228027
lnc-SMNDC1-1	ENSG00000228417
lnc-ECHDC3-2	ENSG00000229206
lnc-USP6NL-20	ENSG00000229206
lnc-SMNDC1-2	ENSG00000235874
CELF2-AS2	ENSG00000237986
PDCD4-AS1	ENSG00000203497
lnc-PDCD4-1	ENSG00000232470
lnc-BBIP1-2	ENSG00000227851
lnc-USP6NL-4	ENSG00000230322
lnc-ZDHHC6-1	ENSG00000233346
lnc-USP6NL-3	ENSG00000247043
lnc-ZDHHC6-3	ENSG00000233340
lnc-TCF7L2-2	ENSG00000234221
CELF2-AS1	ENSG00000181800
lnc-ZDHHC6-4	ENSG00000233547
lnc-VTI1A-3	ENSG00000237996
lnc-NRAP-1	ENSG00000234393
lnc-AFAP1L2-6	ENSG00000275024
lnc-CELF2-2	ENSG00000229763
lnc-FAM160B1-1	ENSG00000228484
lnc-TRUB1-1	ENSG00000236799
lnc-UPF2-5	ENSG00000242629
LINC00200	ENSG00000229205
lnc-PNLIPRP1-1	ENSG00000232767
lnc-HSPA12A-1	ENSG00000225302
MIR3663HG	ENSG00000234474
lnc-PDZD8-1	ENSG00000225936
EMX2OS	ENSG00000229847
lnc-PDZD8-4	ENSG00000235198
lnc-EMX2-3	ENSG00000231104
CASC2	ENSG00000177640
lnc-EMX2-5	ENSG00000238276
lnc-RAB11FIP2-3	ENSG00000243540
LINC00867	ENSG00000232139
PROSER2-AS1	ENSG00000225778
lnc-PRLHR-2	ENSG00000277687
lnc-EIF3A-2	ENSG00000229272
lnc-EIF3A-1	ENSG00000230139
GRK5-IT1	ENSG00000228485
lnc-PRDX3-1	ENSG00000236426
lnc-BAG3-1	ENSG00000233177
lnc-TIAL1-1	ENSG00000224489
lnc-INPP5F-1	ENSG00000229304
lnc-FGFR2-12	ENSG00000227165
WDR11-AS1	ENSG00000227165
lnc-UPF2-1	ENSG00000229098
lnc-FGFR2-8	ENSG00000271670
lnc-FGFR2-3	ENSG00000227307
lnc-FGFR2-11	ENSG00000278484
LINC01153	ENSG00000227143
lnc-FGFR2-1	ENSG00000223432
lnc-TACC2-2	ENSG00000224250
lnc-TACC2-8	ENSG00000276742
lnc-NUDT5-1	ENSG00000228302
lnc-CPXM2-3	ENSG00000225152
lnc-GPR26-2	ENSG00000234542
lnc-GPR26-1	ENSG00000231138
lnc-CHST15-1	ENSG00000234677
lnc-NKX1-2-1	ENSG00000269962
FAM53B-AS1	ENSG00000233334
lnc-CTBP2-2	ENSG00000237866
lnc-CTBP2-1	ENSG00000226899
lnc-ZRANB1-8	ENSG00000282787
TEX36-AS1	ENSG00000237675
EDRF1-AS1	ENSG00000224023
FANK1-AS1	ENSG00000233409
LINC00601	ENSG00000235180
lnc-FAM196A-1	ENSG00000223528
lnc-C10orf90-3	ENSG00000248776
lnc-FOXI2-1	ENSG00000227076
lnc-CLRN3-1	ENSG00000232259
lnc-PTPRE-1	ENSG00000256413
lnc-MKI67-1	ENSG00000234640
lnc-MKI67-2	ENSG00000231308
lnc-MKI67-3	ENSG00000232985
lnc-IDI1-8	ENSG00000282390
lnc-MGMT-5	ENSG00000225424
lnc-EBF3-1	ENSG00000237224
lnc-MGMT-2	ENSG00000228671
lnc-MGMT-13	ENSG00000275005
lnc-MGMT-4	ENSG00000234440
lnc-C10orf143-46	ENSG00000237489
lnc-GLRX3-2	ENSG00000244919
lnc-GLRX3-1	ENSG00000203417
lnc-C10orf143-3	ENSG00000237364
lnc-C10orf143-5	ENSG00000236303
lnc-GLRX3-8	ENSG00000236303
TCERG1L-AS1	ENSG00000230098
lnc-PPP2R2D-3	ENSG00000223835
lnc-PPP2R2D-9	ENSG00000277959
lnc-PPP2R2D-10	ENSG00000273521
lnc-STK32C-1	ENSG00000235010
lnc-PWWP2B-1	ENSG00000231705
lnc-STK32C-2	ENSG00000234311
lnc-PWWP2B-4	ENSG00000180066
